date,Unnamed: 0,number of fans,number of likes,number of dislakes,number clicks contact, number clicks engagement, paid likes, unpaid likes, paid distribution, organic distribution, viral distribution
2020-12-15,0,5111,1,0,0,85,0,1,12313,228,7
2020-12-16,1,5114,4,1,0,141,0,4,12182,977,30
2020-12-17,2,5115,1,0,0,98,0,1,14649,460,98
2020-12-18,3,5119,4,0,0,103,0,4,15184,415,38
2020-12-19,4,5121,2,0,0,93,0,2,14385,308,24
2020-12-20,5,5122,1,0,0,110,0,1,16209,144,20
2020-12-21,6,5123,2,0,0,103,0,2,16576,105,23
2020-12-22,7,5124,1,0,0,100,0,1,17781,342,18
2020-12-23,8,5125,1,0,0,37,0,1,6481,378,35
2020-12-24,9,5121,1,4,0,62,0,1,2090,312,31
2020-12-25,10,5122,2,1,1,91,0,2,2479,462,11
2020-12-26,11,5121,0,0,0,15,0,0,217,453,47
2020-12-27,12,5121,1,0,0,4,0,1,0,188,34
2020-12-28,13,5122,1,0,0,3,0,1,0,92,11
2020-12-29,14,5120,0,2,0,13,0,0,228,291,16
2020-12-30,15,5120,2,2,0,28,0,2,4837,456,135
2020-12-31,16,5119,1,1,0,18,0,1,2724,392,43
2021-01-01,17,5121,2,0,0,8,0,2,0,406,35
2021-01-02,18,5121,2,2,0,12,0,2,0,432,38
2021-01-03,19,5119,3,2,0,6,0,3,0,115,24
2021-01-04,20,5118,0,1,0,5,0,0,0,158,90
2021-01-05,21,5118,1,0,0,8,0,1,0,251,29
2021-01-06,22,5122,3,0,0,11,0,3,0,286,42
2021-01-07,23,5126,4,0,0,8,0,4,0,368,25
2021-01-08,24,5130,4,0,1,85,0,4,15185,463,61
2021-01-09,25,5132,2,0,0,96,0,2,17129,345,26
2021-01-10,26,5131,0,1,0,93,0,0,15449,187,35
2021-01-11,27,5132,1,0,1,90,0,1,16748,68,14
2021-01-12,28,5132,2,1,0,56,0,2,14140,216,13
2021-01-13,29,5135,3,0,0,71,0,3,9336,337,70
2021-01-14,30,5135,1,1,0,66,0,1,16179,265,16
2021-01-15,31,5134,1,0,0,89,0,1,14509,299,33
2021-01-16,32,5137,2,0,0,110,0,2,11572,407,46
2021-01-17,33,5135,0,2,0,90,0,0,13228,219,40
2021-01-18,34,5137,3,2,0,44,0,3,4202,143,69
2021-01-19,35,5139,3,1,0,275,0,3,2863,178,24
2021-01-20,36,5137,0,2,0,380,0,0,4558,510,68
2021-01-21,37,5138,2,1,1,264,0,2,7559,261,26
2021-01-22,38,5138,2,2,0,391,0,2,7128,326,25
2021-01-23,39,5139,2,1,0,265,0,2,6757,277,8
2021-01-24,40,5140,1,0,0,184,0,1,6861,134,2
2021-01-25,41,5141,1,0,0,182,0,1,4456,103,7
2021-01-26,42,5142,2,1,0,177,0,2,3842,288,8
2021-01-27,43,5143,1,0,0,198,0,1,3892,354,56
2021-01-28,44,5141,0,2,0,217,0,0,7413,337,44
2021-01-29,45,5142,1,0,0,211,0,1,7371,307,30
2021-01-30,46,5142,0,0,0,189,0,0,7514,219,26
2021-01-31,47,5142,3,3,0,251,0,3,8097,154,34
2021-02-01,48,5143,1,0,0,135,0,1,4884,197,8
2021-02-02,49,5142,0,1,0,32,0,0,2626,452,21
2021-02-03,50,5141,1,2,0,42,0,1,3595,300,15
2021-02-04,51,5140,0,1,0,49,0,0,4408,333,31
2021-02-05,52,5141,1,0,0,43,0,1,4097,252,24
2021-02-06,53,5141,0,0,0,27,0,0,3270,206,8
2021-02-07,54,5141,0,0,0,10,0,0,977,153,23
2021-02-08,55,5139,0,2,0,1,0,0,0,68,16
2021-02-09,56,5137,0,2,1,213,0,0,2179,256,12
2021-02-10,57,5137,2,2,0,199,0,2,3791,334,6
2021-02-11,58,5135,0,1,0,235,0,0,5365,213,11
2021-02-12,59,5136,1,0,0,273,0,1,9745,323,23
2021-02-13,60,5137,1,0,0,269,0,1,11357,375,12
2021-02-14,61,5137,0,0,0,244,0,0,10472,218,3
2021-02-15,62,5139,3,1,0,281,0,3,12414,118,13
2021-02-16,63,5139,1,0,0,328,0,1,12524,214,8
2021-02-17,64,5138,1,2,0,283,0,1,9203,340,23
2021-02-18,65,5139,1,0,0,307,0,1,7997,200,19
2021-02-19,66,5140,1,0,1,258,0,1,7246,204,15
2021-02-20,67,5138,1,2,0,227,0,1,8268,161,12
2021-02-21,68,5136,0,2,0,260,0,0,7671,126,18
2021-02-22,69,5147,11,0,2,340,0,11,9745,123,4
2021-02-23,70,5150,3,0,0,299,0,3,8664,178,10
2021-02-24,71,5152,2,0,0,234,0,2,8922,229,38
2021-02-25,72,5155,3,0,1,307,0,3,10095,296,9
2021-02-26,73,5154,0,1,0,276,0,0,10180,268,16
2021-02-27,74,5154,0,0,0,204,0,0,9282,285,3
2021-02-28,75,5153,0,1,0,178,0,0,8024,276,67
2021-03-01,76,5150,1,4,0,137,0,1,6247,75,13
2021-03-02,77,5152,2,0,0,137,0,2,5540,317,12
2021-03-03,78,5152,2,1,0,138,0,2,9463,384,32
2021-03-04,79,5152,1,0,1,150,0,1,8335,291,11
2021-03-05,80,5152,0,0,0,119,0,0,7471,166,3
2021-03-06,81,5152,2,2,0,137,0,2,7023,211,2
2021-03-07,82,5149,0,2,0,97,0,0,5150,123,8
2021-03-08,83,5146,0,1,0,96,0,0,4681,111,7
2021-03-09,84,5148,2,0,0,115,0,2,4831,129,8
2021-03-10,85,5150,2,0,0,117,0,2,3399,135,3
2021-03-11,86,5151,1,0,0,105,0,1,3084,159,17
2021-03-12,87,5152,3,2,1,104,0,3,3785,185,33
2021-03-13,88,5154,3,1,0,129,0,3,3597,197,8
2021-03-14,89,5155,2,1,1,133,0,2,3062,108,11
2021-03-15,90,5154,2,3,0,127,0,2,3456,60,4
2021-03-16,91,5155,1,0,1,166,0,1,3702,167,26
